area,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Nonthaburi,2020,22,17,4,7,10,19,25,52,79,67,64,35
P.Nakhon S.Ayutthaya,2011,7,1,3,5,22,23,16,18,14,5,9,1
P.Nakhon S.Ayutthaya,2012,3,2,1,0,5,5,10,18,23,31,29,16
P.Nakhon S.Ayutthaya,2013,27,25,24,12,8,9,25,22,20,22,16,16
P.Nakhon S.Ayutthaya,2014,9,10,8,4,6,11,10,12,18,16,25,10
P.Nakhon S.Ayutthaya,2015,13,6,9,10,30,49,61,76,129,158,162,48
P.Nakhon S.Ayutthaya,2016,37,39,20,18,7,14,21,43,45,30,14,6
P.Nakhon S.Ayutthaya,2017,8,7,7,11,15,21,44,33,25,15,11,7
P.Nakhon S.Ayutthaya,2018,7,6,15,5,30,63,99,82,68,47,60,35
P.Nakhon S.Ayutthaya,2019,33,27,18,15,7,22,32,27,41,51,37,7
P.Nakhon S.Ayutthaya,2020,24,9,4,3,4,22,57,58,47,34,10,4
Pathum Thani,2011,10,7,12,21,90,56,68,31,18,6,12,4
Pathum Thani,2012,4,13,8,8,9,11,27,53,52,41,68,49
Pathum Thani,2013,35,30,16,18,35,42,72,63,45,45,54,11
Pathum Thani,2014,15,9,13,11,4,4,14,21,12,26,22,22
Pathum Thani,2015,11,19,9,13,19,27,38,57,77,109,180,57
Pathum Thani,2016,44,14,16,3,4,7,12,40,36,12,15,8
Pathum Thani,2017,10,12,6,15,11,17,18,19,23,19,25,14
Pathum Thani,2018,16,16,18,35,85,148,128,158,74,85,91,40
Pathum Thani,2019,39,34,26,7,5,24,28,37,26,53,33,25
Pathum Thani,2020,16,5,5,5,7,12,27,34,40,31,18,12
Pattani,2011,8,2,3,3,5,4,4,1,6,3,10,4
Pattani,2012,5,3,4,2,7,8,10,14,6,17,17,26
Pattani,2013,21,25,35,23,24,28,36,45,32,41,57,35
Pattani,2014,38,14,8,7,18,48,85,73,41,34,16,8
Pattani,2015,8,7,3,1,9,18,17,11,12,13,16,32
Pattani,2016,29,10,15,19,16,20,39,111,97,219,183,131
Pattani,2017,89,52,24,10,15,21,19,8,11,11,10,5
Pattani,2018,14,19,10,7,9,11,17,18,37,38,62,61
Pattani,2019,52,37,18,11,39,71,88,75,51,56,44,21
Pattani,2020,16,19,13,5,7,19,46,27,15,15,3,2
